Description,Price,Rating,,ReviewCount,Url,
"Amazon Basics Kids/Youth Gaming Recliner with Headrest and Back Pillow, 3+ Age Group, Black and Red",$188.12 ,4.6 out of 5 stars,4.6,"1,836",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A047620820RK7GCB0DFR3&url=%2FAmazonBasics-Gaming-Recliner-Headrest-Pillow%2Fdp%2FB07TJWWPJS%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dgaming%2Bchairs%26qid%3D1650128992%26sr%3D8-1-spons%26psc%3D1&qualifier=1650128992&id=4343724233162461&widgetName=sp_atf, 
"Razer Enki X Essential Gaming Chair: All-Day Gaming Comfort - Built-in Lumbar Arch - Optimized Cushion Density - Dual-Textured, Eco-Friendly Synthetic Leather - Adjustable 152-degree Recline",$279.99 ,4.6 out of 5 stars,4.6,185,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A01360722BCJNHSQE7TS7&url=%2FRazer-Essential-Gaming-Chair-Built%2Fdp%2FB09CLMBFQZ%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dgaming%2Bchairs%26qid%3D1650128992%26sr%3D8-2-spons%26psc%3D1&qualifier=1650128992&id=4343724233162461&widgetName=sp_atf, 
"AFO Tall Office Chair with 3D Armrests, Lumbar Support and Headrest, Adjustable Height, Breathable Mesh, for Executive, Gaming, Red",$189.99 ,5.0 out of 5 stars,5.0,6,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A00369023E6UXH4KBVM3G&url=%2FAFO-Armrests-Adjustable-Breathable-Executive%2Fdp%2FB09Y191YLX%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dgaming%2Bchairs%26qid%3D1650128992%26sr%3D8-3-spons%26psc%3D1&qualifier=1650128992&id=4343724233162461&widgetName=sp_atf, 
"Office Gaming Chair, PU Leather Computer Chair, Comfortable Swivel Task Home Office Desk Chair High Back with Adjustable Footrest, Black/Blue",$99.99 ,3.9 out of 5 stars,3.9,10,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A01549562XSN4YONM7G5A&url=%2FLeather-Computer-Comfortable-Adjustable-Footrest%2Fdp%2FB09WMVVN2W%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dgaming%2Bchairs%26qid%3D1650128992%26sr%3D8-4-spons%26psc%3D1&qualifier=1650128992&id=4343724233162461&widgetName=sp_atf, 
"YSSOA Backrest and Seat Height Adjustable Swivel Recliner Racing Office Computer Ergonomic Video Game Chair, Black/Red",$99.99 ,4.0 out of 5 stars,4.0,839,https://www.amazon.com/YSSOA-Gaming-Office-Adjustable-Chair/dp/B08XQNSH7B/ref=sr_1_5?keywords=gaming+chairs&qid=1650128992&sr=8-5, 
"RESPAWN 110 Chair, Green",$170.50 ,4.3 out of 5 stars,4.3,"25,508",https://www.amazon.com/RESPAWN-110-Racing-Style-Gaming-Chair/dp/B076HTJRMZ/ref=sr_1_6?keywords=gaming+chairs&qid=1650128992&sr=8-6, 
"Office Gaming Chair, PU Leather Computer Chair, Comfortable Swivel Task Home Office Desk Chair High Back with Adjustable Footrest, Black/Blue",$99.99 ,3.9 out of 5 stars,3.9,10,https://www.amazon.com/Leather-Computer-Comfortable-Adjustable-Footrest/dp/B09WMVVN2W/ref=sr_1_7?keywords=gaming+chairs&qid=1650128992&sr=8-7, 
"AKRacing Masters Series Max Gaming Chair with Wide Flat Seat, 400 Lbs Weight Limit, Rocker and Seat Height Adjustment Mechanisms - Black",$561.28 ,4.4 out of 5 stars,4.4,788,https://www.amazon.com/AKRacing-Master-Gaming-Chair-Black-pc/dp/B079LWJRND/ref=sr_1_8?keywords=gaming+chairs&qid=1650128992&sr=8-8, 
Gaming Chair - Racing Office Computer Ergonomic Video Game Chair with Headrest and Lumbar Pillow,$99.00 ,4.5 out of 5 stars,4.5,38,https://www.amazon.com/Gaming-Chair-Computer-Ergonomic-Headrest/dp/B09WGWFRWB/ref=sr_1_9?keywords=gaming+chairs&qid=1650128992&sr=8-9, 
"OFM Racing Style Bonded Leather Gaming Chair, in Green",$115.34 ,4.5 out of 5 stars,4.5,"24,429",https://www.amazon.com/Essentials-Racing-Style-Leather-Gaming/dp/B01M1E96WX/ref=sr_1_11?keywords=gaming+chairs&qid=1650128992&sr=8-11, 
"Gaming Chair Racing Office Computer Ergonomic Video Game Chair Backrest and Seat Height Adjustable Swivel Recliner with Headrest and Lumbar Pillow Esports Chair, Black",$99.90 ,4.3 out of 5 stars,4.3,119,https://www.amazon.com/YSSOA-Racing-Ergonomic-Adjustable-Chair/dp/B099299DY6/ref=sr_1_12?keywords=gaming+chairs&qid=1650128992&sr=8-12, 
